"Points:0","Points:1","Points:2","forces:0","forces:1","forces:2","radii","GlyphVector:0","GlyphVector:1","GlyphVector:2","Normals:0","Normals:1","Normals:2"
146.02,1.2823,0.99246,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.66583,-0.70925,-0.23162
146,1.2819,2.9282,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.6718,-0.70933,0.21338
146.55,1.8926,4.6801,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.54472,-0.56893,0.61612
147.57,2.9936,5.9012,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.30974,-0.31584,0.89683
147.09,4.3129,-1.9442,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.42156,-0.012541,-0.90671
145.56,4.2683,-0.75759,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.77306,-0.022795,-0.63393
144.69,4.2434,0.97519,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.97143,-0.028534,-0.23559
144.67,4.243,2.911,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.97741,-0.028621,0.20941
145.48,4.2673,4.6663,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.78979,-0.02304,0.61294
146.98,4.3114,5.8935,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.44575,-0.012895,0.89506
147.6,5.6631,-1.937,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.30354,0.29785,-0.90507
146.48,6.7013,-0.74469,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.56039,0.53652,-0.63096
145.85,7.2773,0.99128,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.70624,0.66892,-0.23189
145.82,7.2769,2.927,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.71221,0.66883,0.21311
146.41,6.7003,4.6792,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.57713,0.53627,0.6159
147.49,5.6616,5.9007,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.32773,0.2975,0.89671
148.92,6.2548,-1.9192,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.00062444,0.43387,-0.90097
148.86,7.7675,-0.71261,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.014548,0.78162,-0.62359
148.81,8.6068,1.0313,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.025591,0.97455,-0.22269
148.78,8.6064,2.967,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.031564,0.97447,0.22231
148.78,7.7664,4.7113,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.031287,0.78137,0.62328
148.81,6.2533,5.9185,-0.038814,0.010725,0,4.35,148.92,4.3675,2,-0.024812,0.43352,0.9008
150.27,5.7414,-1.9012,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.30974,0.31584,-0.89683
151.29,6.8423,-0.68013,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.54472,0.56893,-0.61612
151.84,7.4531,1.0718,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.6718,0.70933,-0.21338
151.82,7.4527,3.0075,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.66583,0.70925,0.23162
151.22,6.8412,4.7437,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.52798,0.56868,0.63075
150.16,5.7398,5.9365,-0.038814,0.010725,0,4.35,148.92,4.3675,2,0.28556,0.31549,0.90495
140.08,11.652,-0.9497,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.014231,0.0005909,-0.9999
140,11.649,4.9497,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.014231,-0.0005909,0.9999
141.35,11.758,-0.63937,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.44517,0.0365,-0.8947
142.37,11.843,0.19371,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.78793,0.065181,-0.6123
142.92,11.889,1.3846,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.97464,0.080951,-0.20862
142.9,11.888,2.6973,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.96831,0.080688,0.23637
142.31,11.841,3.8719,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.77019,0.064444,0.63455
141.28,11.755,4.6758,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.41952,0.035436,0.90705
141.06,10.825,-0.64417,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.34397,-0.27978,-0.89633
141.83,10.161,0.18506,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.60558,-0.50474,-0.61523
142.25,9.7927,1.3738,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.74725,-0.62973,-0.21228
142.23,9.7919,2.6865,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.74092,-0.62999,0.23272
141.78,10.159,3.8633,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.58784,-0.50547,0.63162
140.98,10.822,4.671,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.31833,-0.28085,0.90542
140.19,10.376,-0.65683,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.04879,-0.43186,-0.90062
140.26,9.353,0.16225,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.073685,-0.77877,-0.62296
140.29,8.7847,1.3453,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.083986,-0.97144,-0.22192
140.27,8.7839,2.6581,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.077653,-0.9717,0.22307
140.21,9.3509,3.8405,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.055939,-0.77951,0.62389
140.11,10.373,4.6583,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,0.023146,-0.43292,0.90113
139.25,10.675,-0.66993,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.26746,-0.33065,-0.90506
138.58,9.891,0.13865,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.49618,-0.5964,-0.63097
138.19,9.4555,1.3159,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.62662,-0.74402,-0.2319
138.17,9.4548,2.6286,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.63295,-0.74428,0.2131
138.53,9.8889,3.8169,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.51392,-0.59713,0.61589
139.18,10.672,4.6452,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.2931,-0.33171,0.89669
138.8,11.546,-0.6758,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.41952,-0.035436,-0.90705
137.77,11.46,0.12807,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.77019,-0.064444,-0.63455
137.18,11.412,1.3027,-0.0027413,0.0074621,0,2.95,140.04,11.65,2,-0.96831,-0.080688,-0.23637
